"Group","Species","N_Years","First_Year","Last_Year","N_Records","Mean_growth_rate","Lower_CI","Upper_CI","Precision"
"AquaticBugs","Aphelocheirus aestivalis",33,1980,2012,166,-0.129,-3.96661058928692,2.6958034276065,0.403393284735722
"AquaticBugs","Aquarius paludum",34,1982,2015,74,5.4772,-0.479438633155023,11.9383787781927,0.103699339796058
"AquaticBugs","Arctocorisa germari",41,1970,2010,82,-4.0807,-6.80456480372887,-1.17692172443123,0.468699941807259
"AquaticBugs","Callicorixa praeusta",46,1970,2015,977,-0.2022,-1.41211646672915,1.14095919592355,2.3344258519014
"AquaticBugs","Callicorixa wollastoni",40,1970,2009,57,-0.6848,-3.76550370246555,2.32005246965094,0.413113958264188
"AquaticBugs","Chartoscirta cincta",45,1971,2015,85,-0.5523,-5.69347169413113,4.79168554227675,0.144054566616349
"AquaticBugs","Corixa affinis",29,1982,2010,54,-1.2521,-4.95301370247067,2.43815965348739,0.301195719300345
"AquaticBugs","Corixa dentipes",41,1970,2010,165,-1.5044,-4.42960961337211,2.05455559578174,0.379974959030701
"AquaticBugs","Corixa panzeri",45,1971,2015,355,-0.2864,-3.01761936006338,2.14450201551577,0.588108009302784
"AquaticBugs","Corixa punctata",46,1970,2015,1524,-0.6654,-1.98993095255018,0.438274101967428,2.98553555096487
"AquaticBugs","Cymatia bonsdorffii",41,1970,2010,172,-0.6839,-2.83143820868187,1.45333031341345,0.900722993463692
"AquaticBugs","Cymatia coleoptrata",46,1970,2015,476,-1.0893,-3.4388208298284,0.949778594210042,0.814747312948281
"AquaticBugs","Gerris argentatus",37,1975,2011,113,1.1647,-2.79998671333129,5.04777918726529,0.250072847142386
"AquaticBugs","Gerris costae",37,1973,2009,64,-0.2575,-4.13062221370227,3.47558357602522,0.302915657817055
"AquaticBugs","Gerris gibbifer",42,1970,2011,256,-1.3905,-4.19915647644864,1.62074836296438,0.482911422495363
"AquaticBugs","Gerris lacustris",46,1970,2015,1479,-0.659,-2.58524068649499,0.472726530979757,1.46845503802675
"AquaticBugs","Gerris lateralis",40,1972,2011,73,1.49,-1.6754810974497,4.46162089285006,0.39351382135841
"AquaticBugs","Gerris odontogaster",43,1970,2012,678,0.5038,-1.21535936645603,2.50005252564001,1.09007442870462
"AquaticBugs","Gerris thoracicus",45,1971,2015,396,-0.1218,-2.24820496228926,2.10893157286696,0.858260075446675
"AquaticBugs","Hebrus ruficeps",34,1977,2010,116,4.5499,0.651810732017988,8.56323912731665,0.249317275263444
"AquaticBugs","Hesperocorixa castanea",39,1973,2011,149,0.3877,-1.78127820909917,2.87691396358149,0.725352024511312
"AquaticBugs","Hesperocorixa linnaei",44,1970,2013,713,0.6267,-0.797016047871262,2.14576363701694,1.86150671543933
"AquaticBugs","Hesperocorixa moesta",42,1971,2012,130,1.1261,-1.5182315949865,4.22236656472681,0.50651034403842
"AquaticBugs","Hesperocorixa sahlbergi",43,1971,2013,1431,0.3022,-0.763941869413955,1.49853615800199,2.89832821739668
"AquaticBugs","Hydrometra stagnorum",46,1970,2015,1424,2.4839,0.791720401076218,4.42174495183284,1.13076604095175
"AquaticBugs","Ilyocoris cimicoides",46,1970,2015,1168,1.3707,-0.571225488985544,3.57525751237949,0.934931142584751
"AquaticBugs","Micronecta poweri",26,1984,2009,101,0.971,-3.89353755996615,5.63381864344785,0.178973872441711
"AquaticBugs","Micronecta scholtzi",35,1977,2011,207,3.3652,-1.90405242528864,9.16012483781002,0.123901923528759
"AquaticBugs","Microvelia pygmaea",24,1987,2010,59,6.476,-0.854395042325006,14.2710848616029,0.0632485705525083
"AquaticBugs","Microvelia reticulata",45,1971,2015,911,2.8241,0.237744767276298,5.49268605579776,0.507841846876796
"AquaticBugs","Nepa cinerea",45,1971,2015,1200,1.7408,0.298239893754378,3.52058288475303,1.4829216901625
"AquaticBugs","Notonecta glauca",46,1970,2015,3249,0.0984,-0.518117672004662,0.724964573293452,10.8417989457971
"AquaticBugs","Notonecta maculata",42,1970,2011,248,-1.5406,-5.28569087097171,1.93788281536737,0.293198635898722
"AquaticBugs","Notonecta obliqua",42,1970,2011,169,-0.8077,-3.39672357929602,1.49602674943275,0.666313668094645
"AquaticBugs","Notonecta viridis",43,1970,2012,511,-0.872,-3.28925691800726,1.86071306538149,0.596132573157965
"AquaticBugs","Paracorixa concinna",40,1976,2015,267,0.706,-2.2073790709761,4.19143160986966,0.408572225603732
"AquaticBugs","Plea minutissima",44,1972,2015,912,3.3717,0.739161596852782,5.99436909196845,0.517748339886616
"AquaticBugs","Ranatra linearis",45,1971,2015,357,3.2509,0.694327658642239,6.14514563944003,0.506853716459647
"AquaticBugs","Saldula saltatoria",39,1972,2010,142,-3.8878,-8.39026688175506,1.16590426141272,0.168373899944295
"AquaticBugs","Sigara distincta",43,1970,2012,604,-1.0967,-2.59693310737837,0.377154427172533,1.77918720474772
"AquaticBugs","Sigara dorsalis",43,1970,2012,6242,-0.3322,-0.936486746359511,0.306347946959441,9.44278955071946
"AquaticBugs","Sigara falleni",43,1970,2012,3446,-2.4268,-4.17568409855999,-1.20981497135487,1.73702182721787
"AquaticBugs","Sigara fossarum",44,1970,2013,790,-0.7415,-2.33722697603088,0.650778650186185,1.82492270500962
"AquaticBugs","Sigara lateralis",45,1971,2015,977,0.4654,-0.66227525214471,2.7237964386455,1.48790168938962
"AquaticBugs","Sigara limitata",45,1971,2015,102,1.2954,-1.60308777685879,4.2936903182011,0.424590188237944
"AquaticBugs","Sigara nigrolineata",44,1970,2013,818,-0.7832,-2.54358807351252,1.21647242053586,1.14858974702248
"AquaticBugs","Sigara scotti",41,1970,2010,91,-0.0791,-2.3837935784438,2.596676149653,0.637999963073496
"AquaticBugs","Sigara semistriata",40,1971,2010,151,2.7075,-0.000399330484809312,5.55930130608164,0.496257368298377
"AquaticBugs","Sigara stagnalis",39,1977,2015,183,-0.8014,-3.53672135070528,2.09189438755275,0.524533117300952
"AquaticBugs","Sigara venusta",36,1976,2011,118,-1.8537,-4.81344362654556,1.14716620220431,0.437914832072555
"AquaticBugs","Velia caprai",38,1974,2011,571,1.0798,-0.79775807003858,3.53006701181932,0.802181497029517
"Bees","Andrena alfkenella",40,1972,2011,62,-0.0323,-3.14151303389875,3.45265353421462,0.355679057180476
"Bees","Andrena angustior",46,1970,2015,328,-1.2085,-3.57292225400568,1.41791350293179,0.591534230178256
"Bees","Andrena apicata",45,1971,2015,190,1.5584,-1.28992331884141,4.8457120282755,0.427267772808732
"Bees","Andrena argentata",42,1974,2015,348,0.98,-0.981161414430042,3.29119841163661,0.828791698652243
"Bees","Andrena barbilabris",46,1970,2015,1045,0.4124,-1.15636646430424,2.31194711621117,1.32019739017185
"Bees","Andrena bicolor",46,1970,2015,2941,1.0988,-0.455960363804392,2.70199240112212,1.48429310551665
"Bees","Andrena bimaculata",45,1971,2015,415,1.0077,-0.822907313650335,2.82443235324303,1.20209143475072
"Bees","Andrena bucephala",44,1972,2015,231,1.303,-1.64226537252485,4.78963538887573,0.376330600974865
"Bees","Andrena chrysosceles",46,1970,2015,1761,0.9819,-0.674828332552025,2.78739120987361,1.28403788465945
"Bees","Andrena cineraria",46,1970,2015,1270,4.588,2.52737892032442,6.9458693084601,0.828030762635423
"Bees","Andrena clarkella",46,1970,2015,1038,-0.1759,-1.73371800153847,1.53994952171939,1.44329825129793
"Bees","Andrena coitana",45,1970,2014,212,-5.7924,-8.3179596218558,-3.31094042488298,0.607282094055274
"Bees","Andrena congruens",42,1974,2015,82,-2.8037,-6.23225797949729,0.084343620579999,0.389728088784447
"Bees","Andrena denticulata",44,1972,2015,547,-0.1025,-1.77790381137697,1.90392554450724,1.13893429077035
"Bees","Andrena dorsata",46,1970,2015,2332,4.6509,2.53901288641596,7.29635729701302,0.712541029606849
"Bees","Andrena flavipes",45,1971,2015,3574,2.9137,1.41324490788304,4.54320864550846,1.4983314585163
"Bees","Andrena florea",46,1970,2015,342,-2.1872,-6.28063138518093,1.84323731798041,0.235748672625241
"Bees","Andrena fucata",43,1973,2015,500,-1.2382,-3.44415425798135,1.28657183934979,0.713409306756164
"Bees","Andrena fulva",46,1970,2015,1901,0.1902,-0.686134708019441,1.25164018998728,4.09929095736347
"Bees","Andrena fulvago",39,1977,2015,178,1.4899,-1.4648213995031,4.38599450053134,0.448320352583134
"Bees","Andrena fuscipes",46,1970,2015,806,-0.2186,-1.54019744722156,0.980267941195204,2.35700266178301
"Bees","Andrena haemorrhoa",46,1970,2015,3640,1.8353,0.47976472549179,3.47743929129604,1.80623117909406
"Bees","Andrena hattorfiana",45,1971,2015,252,1.319,-0.717843080737126,4.16523034156377,0.637841515751789
"Bees","Andrena helvola",46,1970,2015,502,0.1248,-2.51501993808521,3.01966480098504,0.537693899041331
"Bees","Andrena humilis",46,1970,2015,337,0.8826,-1.43863888601326,3.88769033313083,0.583519930023329
"Bees","Andrena labialis",46,1970,2015,479,0.7494,-2.20378423867506,4.44299293892791,0.341739377350043
"Bees","Andrena labiata",41,1975,2015,450,4.2729,1.16007859366509,7.53970361112026,0.392669590954706
"Bees","Andrena lapponica",43,1973,2015,255,-1.5489,-3.82865750071483,0.799000368578368,0.69008559871035
"Bees","Andrena marginata",43,1971,2013,192,-1.0959,-2.91654542280112,0.666550057333055,1.13773098612737
"Bees","Andrena minutula",46,1970,2015,2811,0.9406,-0.630275694084022,2.73577867694292,1.32051175611459
"Bees","Andrena minutuloides",46,1970,2015,273,1.5013,-1.72128048201037,5.52027765774022,0.31010567444968
"Bees","Andrena nigriceps",41,1973,2013,83,-1.7462,-4.65487375089972,1.01311534047366,0.516517526315584
"Bees","Andrena nigroaenea",46,1970,2015,2333,2.3596,0.454918815438629,4.71704700031178,0.865185383553033
"Bees","Andrena nitida",44,1972,2015,2017,4.2981,2.17411701287736,6.87840459370025,0.693562206692151
"Bees","Andrena nitidiuscula",42,1974,2015,146,-0.6644,-2.99982962141453,1.62342723634577,0.696945470527291
"Bees","Andrena ovatula",46,1970,2015,841,-0.3938,-2.27215521989363,1.6478310749087,1.05111030105443
"Bees","Andrena praecox",42,1974,2015,518,2.026,0.298422355137129,4.21731972744442,0.924436414803744
"Bees","Andrena proxima",41,1974,2014,135,-2.1866,-6.11753728046323,2.27741240000868,0.231649542179507
"Bees","Andrena ruficrus",46,1970,2015,50,1.1571,-2.91221116717185,5.17437715999421,0.226496109176841
"Bees","Andrena scotica",46,1970,2015,2959,0.3415,-0.981764922645217,1.84938522316648,1.89025465313824
"Bees","Andrena semilaevis",46,1970,2015,1064,-1.2111,-2.81344374893286,0.357683832700998,1.53620758509619
"Bees","Andrena similis",44,1970,2013,110,-2.2807,-6.01284650114316,1.61698857104402,0.275709660426619
"Bees","Andrena subopaca",46,1970,2015,1526,-0.4379,-1.94045367229815,1.31691542076692,1.42468899497736
"Bees","Andrena synadelpha",45,1971,2015,339,-0.1296,-2.30371824843506,2.73810235080979,0.625675450695313
"Bees","Andrena tarsata",46,1970,2015,227,-1.8589,-3.65064491814114,-0.13722428641342,1.23587079311122
"Bees","Andrena thoracica",45,1971,2015,581,-1.0921,-2.38967687492968,0.185103443340045,2.14896998674182
"Bees","Andrena tibialis",44,1972,2015,240,0.6818,-2.03386858644217,3.6897400090846,0.467547442838509
"Bees","Andrena trimmerana",45,1971,2015,553,0.1274,-2.2793628737515,3.1011220828083,0.507774480112166
"Bees","Andrena varians",43,1973,2015,117,-2.0289,-5.36404909734259,0.797337106817422,0.441282360064516
"Bees","Andrena wilkella",46,1970,2015,1033,-1.2197,-3.33892884238593,1.01263444062065,0.787107212907244
"Bees","Anthidium manicatum",46,1970,2015,724,1.3847,-0.983196960900619,4.14103939206352,0.579911317757523
"Bees","Anthophora bimaculata",45,1971,2015,913,0.9275,-0.810872536381549,2.77061600137794,1.23121892600119
"Bees","Anthophora furcata",46,1970,2015,640,-0.6072,-2.2286916791049,0.935294340148885,1.54424238198868
"Bees","Anthophora plumipes",45,1971,2015,1976,3.5992,1.30593938303047,6.30602799808769,0.620641166674784
"Bees","Anthophora quadrimaculata",46,1970,2015,202,-3.1218,-5.63576398001491,-0.731359421623196,0.598110753731784
"Bees","Apis mellifera",45,1971,2015,2858,5.2627,2.98173294616211,8.02273616555755,0.63328847100979
"Bees","Bombus barbutellus",46,1970,2015,454,-2.3118,-3.90160369677949,-0.686079416934411,1.52336058955101
"Bees","Bombus bohemicus",46,1970,2015,1309,-1.2097,-2.37390681744182,0.00635345905633181,2.90680038507123
"Bees","Bombus campestris",46,1970,2015,994,-3.6001,-5.72658839202178,-1.47541251950534,0.920798016003836
"Bees","Bombus distinguendus",46,1970,2015,586,0.1723,-1.54115904066059,2.00104797336693,1.24780503959501
"Bees","Bombus hortorum",46,1970,2015,5530,-0.8029,-1.58971541248815,0.142820477933405,5.21711392257398
"Bees","Bombus humilis",46,1970,2015,858,-1.7165,-3.54072584559157,0.119079008373442,1.01981081170023
"Bees","Bombus hypnorum",46,1970,2015,2348,4.8061,-1.51931579735461,9.41592815615165,0.133774721466996
"Bees","Bombus jonellus",46,1970,2015,1441,0.7008,-1.07185680012434,2.66966521324946,1.07398095306466
"Bees","Bombus lapidarius",46,1970,2015,9776,0.4934,-0.166818192334232,1.3530607468568,6.65012977318849
"Bees","Bombus magnus",45,1970,2014,298,-1.2125,-4.92739958186915,3.14442494329494,0.245674195601339
"Bees","Bombus muscorum",46,1970,2015,1034,-1.1489,-2.15172259382603,-0.275434786084744,4.46433941179298
"Bees","Bombus pascuorum",46,1970,2015,13467,0.6461,0.00261718777612248,1.46590600890125,6.7644782371856
"Bees","Bombus pratorum",46,1970,2015,6756,-0.4826,-1.36143116061933,0.673164585380024,3.54907190425587
"Bees","Bombus ruderarius",46,1970,2015,688,-4.5081,-6.38040948161078,-2.85475747295188,1.30246177732409
"Bees","Bombus ruderatus",44,1972,2015,161,-0.6783,-2.86528865943752,1.45784822470274,0.817081097494134
"Bees","Bombus rupestris",45,1971,2015,727,0.4652,-1.75791066247406,2.79716712213792,0.713322970105473
"Bees","Bombus soroeensis",45,1971,2015,302,0.0494,-2.87787931458271,3.24364373895395,0.388551527562197
"Bees","Bombus sylvarum",45,1970,2014,381,-2.439,-4.40213529363649,-0.529562827458944,1.03482182342482
"Bees","Bombus sylvestris",46,1970,2015,1600,-0.1507,-1.31197747644701,1.14914577307937,2.54373326377946
"Bees","Bombus terrestris",46,1970,2015,9956,0.4102,-1.13144211639828,2.36062901951882,1.16142797260406
"Bees","Bombus vestalis",46,1970,2015,3526,0.429,-0.456586070399178,1.52405125907467,3.8612878465888
"Bees","Ceratina cyanea",43,1973,2015,306,-1.6538,-4.67837939825255,1.15151554223261,0.495982629965439
"Bees","Chelostoma campanularum",46,1970,2015,529,-0.7776,-2.40926002698588,0.750528855173342,1.62977171964231
"Bees","Chelostoma florisomne",43,1973,2015,374,2.0793,-0.0199478039827899,4.51340586179617,0.739786436980019
"Bees","Coelioxys conoidea",44,1972,2015,271,2.1874,-0.155377955290681,4.96351519857497,0.549217866031892
"Bees","Coelioxys elongata",45,1971,2015,217,-0.5376,-2.56350031481123,1.46449298639704,0.906272565193624
"Bees","Coelioxys inermis",46,1970,2015,126,-0.9777,-3.00986442865781,1.27966074278659,0.857384634916038
"Bees","Coelioxys mandibularis",40,1973,2012,65,-1.4212,-4.91900718441881,1.88322258897316,0.34140864995669
"Bees","Coelioxys rufescens",45,1971,2015,186,-2.7885,-6.19832730819568,0.262175641699042,0.383004442864308
"Bees","Colletes cunicularius",42,1974,2015,112,0.7864,-1.83895989604203,3.39692830320324,0.561658411484335
"Bees","Colletes daviesanus",46,1970,2015,911,-1.1318,-2.42868507893639,0.120329459678992,2.22445936303065
"Bees","Colletes floralis",32,1984,2015,88,0.8225,-3.46990664186471,4.63256311867717,0.243767039036892
"Bees","Colletes fodiens",46,1970,2015,591,0.1907,-1.67483664206701,2.21726458910696,1.09882945509864
"Bees","Colletes halophilus",44,1971,2014,169,-3.1775,-5.61318834679836,-0.670020387321967,0.626451485464495
"Bees","Colletes hederae",16,2000,2015,1640,35.4508,11.1574889089895,51.2061048892262,0.00973684584810203
"Bees","Colletes marginatus",43,1972,2014,157,-0.8779,-3.02181716946738,1.3128075794947,0.846668882763334
"Bees","Colletes similis",46,1970,2015,529,-2.4123,-4.68606015442258,-0.148024240363939,0.765922885594887
"Bees","Colletes succinctus",44,1972,2015,1099,0.7336,-0.607830413735697,2.30638814974168,1.72017331327402
"Bees","Dasypoda hirtipes",46,1970,2015,543,1.2263,-0.686527833631512,3.65327453551612,0.841964972347518
"Bees","Epeolus cruciger",46,1970,2015,718,0.1891,-0.772544613402991,1.20249861009535,3.73208870108971
"Bees","Epeolus variegatus",45,1971,2015,688,-0.8679,-2.49180178688859,0.903574794702174,1.33875149964409
"Bees","Eucera longicornis",46,1970,2015,214,-3.5123,-6.32083640146192,-0.858852434786331,0.519928164981521
"Bees","Halictus confusus",43,1972,2014,76,-1.494,-4.609595309695,1.32487938047955,0.437252570436076
"Bees","Halictus rubicundus",46,1970,2015,1738,-0.0192,-1.27775099618681,1.56575105889841,1.92551293408537
"Bees","Halictus tumulorum",46,1970,2015,3055,1.4665,-0.199920469274124,3.34652812348064,1.25480219747678
"Bees","Heriades truncorum",46,1970,2015,219,1.6377,-1.56387545419287,5.28961773999458,0.337244051262657
"Bees","Hoplitis claviventris",46,1970,2015,420,-0.6577,-3.21229096277951,2.08274325053308,0.564911612621936
"Bees","Hylaeus annularis",32,1973,2004,67,1.4437,-3.95416393656127,8.18627139973811,0.10376475605382
"Bees","Hylaeus brevicornis",44,1972,2015,788,-0.5759,-2.4592561792227,1.59941865944113,1.06276897420834
"Bees","Hylaeus communis",46,1970,2015,2206,1.4115,0.00316624560977115,3.07791187287821,1.61626147379309
"Bees","Hylaeus confusus",46,1970,2015,629,-1.0483,-3.28091218091954,1.57768043787749,0.655704111914878
"Bees","Hylaeus cornutus",45,1971,2015,268,-1.8277,-4.2188464945717,0.63479700125815,0.607287546045525
"Bees","Hylaeus dilatatus",44,1972,2015,770,0.8733,-1.37272004919737,3.73456819830259,0.603405854779616
"Bees","Hylaeus hyalinatus",46,1970,2015,941,0.2233,-1.49605892794,2.13752701353378,1.14053238643715
"Bees","Hylaeus incongruus",42,1970,2011,78,-4.6206,-8.45031788584039,-0.896740324718563,0.262451091589472
"Bees","Hylaeus pectoralis",44,1971,2014,132,1.0233,-1.02321775047099,3.46145183648331,0.766625631688245
"Bees","Hylaeus pictipes",46,1970,2015,154,-2.1813,-5.53884874791041,1.1207882249489,0.370294067615562
"Bees","Hylaeus signatus",46,1970,2015,400,0.1749,-1.43710733081156,1.61826493275852,1.77910292087155
"Bees","Lasioglossum albipes",46,1970,2015,1654,-0.0385,-1.64371784725126,1.99758176958769,1.13949861625588
"Bees","Lasioglossum brevicorne",44,1972,2015,126,0.8424,-2.75396673222347,4.60693397792723,0.274022949002669
"Bees","Lasioglossum calceatum",46,1970,2015,3911,2.4062,1.0950908440365,4.19733595668472,1.57956960864006
"Bees","Lasioglossum cupromicans",45,1971,2015,306,-0.492,-2.47292707503499,1.37734003968325,1.09967528577936
"Bees","Lasioglossum fratellum",45,1970,2014,690,-1.6949,-3.71305434541185,0.198760827104263,1.01000840596363
"Bees","Lasioglossum fulvicorne",46,1970,2015,1434,-0.3141,-1.94507457261196,1.30344283258941,1.48548747437198
"Bees","Lasioglossum laevigatum",46,1970,2015,437,-3.0332,-5.45766963364426,-0.746329625513995,0.679118813931883
"Bees","Lasioglossum lativentre",46,1970,2015,658,0.4462,-1.4746145715647,2.85015920763938,0.88714841530933
"Bees","Lasioglossum leucopus",46,1970,2015,1365,-0.9401,-2.92550318155746,1.14702126544357,0.883845404697588
"Bees","Lasioglossum leucozonium",45,1971,2015,2490,2.0876,0.331987306093546,4.24630269142155,1.01585969864277
"Bees","Lasioglossum malachurum",45,1971,2015,1665,1.1606,-0.874881524914332,3.19682997852377,0.89037518021321
"Bees","Lasioglossum minutissimum",42,1974,2015,962,2.5351,0.313374349229355,4.98945170145245,0.7122219199051
"Bees","Lasioglossum morio",46,1970,2015,3529,2.4151,0.992677565332668,3.93561829360135,1.84207788231743
"Bees","Lasioglossum nitidiusculum",42,1971,2012,177,-4.0263,-7.11298361921664,-0.950025211361441,0.40247928108107
"Bees","Lasioglossum parvulum",46,1970,2015,1214,0.59,-1.56615503758323,3.07340469880432,0.661649748545368
"Bees","Lasioglossum pauperatum",41,1972,2012,61,-0.6305,-4.85338533457715,3.84003205339191,0.238873989891403
"Bees","Lasioglossum pauxillum",42,1974,2015,1059,4.7663,1.69806019358498,8.26202421936053,0.346554010485894
"Bees","Lasioglossum prasinum",43,1973,2015,343,0.9955,-1.05766694257307,3.23989095434313,0.829167731040444
"Bees","Lasioglossum punctatissimum",44,1972,2015,958,1.3704,-0.845438177171209,3.91377928643162,0.691381583640662
"Bees","Lasioglossum puncticolle",45,1971,2015,288,0.2285,-3.43266532516683,4.45304646805935,0.249409949626009
"Bees","Lasioglossum quadrinotatum",38,1978,2015,68,1.3439,-2.13405268256213,4.95271477500179,0.351080005509006
"Bees","Lasioglossum rufitarse",44,1971,2014,414,-1.1549,-3.83190923884844,1.50000091888311,0.54329592159553
"Bees","Lasioglossum semilucens",43,1970,2012,50,-3.4163,-8.02469878648894,1.0424637248376,0.189783568470222
"Bees","Lasioglossum smeathmanellum",46,1970,2015,1164,-0.3767,-1.83177849945144,1.12992426689925,1.83777114501562
"Bees","Lasioglossum villosulum",46,1970,2015,2348,0.774,-0.776255082517355,2.51941178844921,1.35075905780943
"Bees","Lasioglossum xanthopus",46,1970,2015,220,-5.3531,-9.20960139146131,-1.52425475727564,0.264124287589749
"Bees","Lasioglossum zonulum",46,1970,2015,795,-1.6573,-4.06940095084408,1.2258884544552,0.539961691723667
"Bees","Macropis europaea",45,1971,2015,245,1.3039,-0.788742088396368,4.15656334104857,0.707993036378352
"Bees","Megachile centuncularis",46,1970,2015,783,0.3097,-0.841548016432826,1.47704113343094,3.15932466661998
"Bees","Megachile circumcincta",45,1970,2014,121,-3.7032,-6.77475910767915,-0.438444892666324,0.407773897904897
"Bees","Megachile leachella",44,1972,2015,462,2.5529,0.798302920762846,4.83959452795644,0.91476516028393
"Bees","Megachile ligniseca",44,1972,2015,682,0.9106,-0.767490141301936,2.77247110190094,1.21669493899686
"Bees","Megachile maritima",46,1970,2015,420,0.3085,-1.78324221749209,2.92169934939686,0.728828010019972
"Bees","Megachile versicolor",46,1970,2015,940,0.1081,-1.77724152380375,2.47403324872811,0.844832116289149
"Bees","Megachile willughbiella",46,1970,2015,1349,1.3264,-0.402771454976042,3.0859177493261,1.26527493575994
"Bees","Melecta albifrons",45,1971,2015,271,2.9413,0.0893646274786231,6.57928746193688,0.35358246722533
"Bees","Melitta haemorrhoidalis",45,1971,2015,255,-1.0386,-3.38517168692116,1.72905654222036,0.632382084974017
"Bees","Melitta leporina",46,1970,2015,452,-2.3503,-4.41374438708406,-0.161199530278214,0.79519796044915
"Bees","Melitta tricincta",46,1970,2015,414,2.0328,-0.37516043668218,5.10424519629518,0.49456733884781
"Bees","Nomada armata",25,1991,2015,51,-1.1866,-7.27319731020601,6.43201709061567,0.0788957526032753
"Bees","Nomada baccata",46,1970,2015,235,-1.5121,-4.19287973060934,1.13235798808764,0.570091496542566
"Bees","Nomada fabriciana",46,1970,2015,1709,1.6421,-0.104129231768558,3.48106459134999,1.1878638105089
"Bees","Nomada ferruginata",29,1987,2015,59,4.614,-1.42130866769379,11.9843390020667,0.0847207592124291
"Bees","Nomada flava",46,1970,2015,1985,3.0871,0.533097721689322,5.82786359538286,0.552654076692113
"Bees","Nomada flavoguttata",46,1970,2015,1659,0.9672,-0.697581733185639,3.04320203852697,1.06710903872208
"Bees","Nomada flavopicta",44,1972,2015,282,-0.7399,-2.92875338338626,1.27054768861849,0.878484192539981
"Bees","Nomada fucata",41,1975,2015,1200,4.3265,2.16954064343848,6.97228640631467,0.646297422830487
"Bees","Nomada fulvicornis",45,1971,2015,384,0.7863,-2.38247165482885,3.84640604128387,0.387660517038713
"Bees","Nomada goodeniana",45,1971,2015,2025,3.4759,1.29120441033686,6.03529808409819,0.766744886726634
"Bees","Nomada hirtipes",37,1979,2015,94,0.5498,-3.67920216625544,4.34395834924184,0.237486903766894
"Bees","Nomada integra",43,1971,2013,119,-1.0922,-3.94377612982504,1.31783717978725,0.588499218656355
"Bees","Nomada lathburiana",39,1977,2015,486,4.5389,2.45249237474112,6.85765559111125,0.767436480286062
